CustomerID,date,trigger_count,day_index,first_trigger_day
12346,2011-01-18,1,48,48
12347,2010-12-07,31,6,6
12347,2011-01-26,29,56,6
12347,2011-04-07,24,127,6
12347,2011-06-09,18,190,6
12347,2011-08-02,22,244,6
12347,2011-10-31,47,334,6
12347,2011-12-07,11,371,6
12348,2010-12-16,17,15,15
12348,2011-01-25,6,55,15
12348,2011-04-05,5,125,15
12348,2011-09-25,3,298,15
12349,2011-11-21,73,355,355
12350,2011-02-02,17,63,63
12352,2011-02-16,15,77,77
12352,2011-03-01,8,90,77
12352,2011-03-17,7,106,77
12352,2011-03-22,8,111,77
12352,2011-09-20,18,293,77
12352,2011-09-28,14,301,77
12352,2011-11-03,15,337,77
12353,2011-05-19,4,169,169
12354,2011-04-21,58,141,141
12355,2011-05-09,13,159,159
12356,2011-01-18,36,48,48
12356,2011-04-08,21,128,48
12356,2011-11-17,2,351,48
12357,2011-11-06,131,340,340
12358,2011-07-12,12,223,223
12358,2011-12-08,7,372,223
12359,2011-01-12,16,42,42
12359,2011-02-07,80,68,42
12359,2011-06-03,47,184,42
12359,2011-10-13,105,316,42
12360,2011-05-23,45,173,173
12360,2011-08-19,30,261,173
12360,2011-10-18,54,321,173
12361,2011-02-25,10,86,86
12362,2011-02-17,27,78,78
12362,2011-04-28,29,148,78
12362,2011-07-07,19,218,78
12362,2011-08-11,30,253,78
12362,2011-09-28,40,301,78
12362,2011-10-11,15,314,78
12362,2011-10-26,33,329,78
12362,2011-10-28,27,331,78
12362,2011-11-04,16,338,78
12362,2011-12-06,30,370,78
12363,2011-04-11,16,131,131
12363,2011-08-22,7,264,131
12364,2011-08-19,34,261,261
12364,2011-09-22,2,295,261
12364,2011-10-30,22,333,261
12364,2011-12-02,27,366,261
12365,2011-02-21,22,82,82
12367,2011-12-05,11,369,369
12370,2010-12-14,83,13,13
12370,2010-12-17,8,16,13
12370,2011-03-10,48,99,13
12370,2011-10-19,28,322,13
12371,2011-10-11,62,314,314
12371,2011-10-26,1,329,314
12372,2011-02-16,20,77,77
12372,2011-05-11,19,161,77
12372,2011-09-29,13,302,77
12373,2011-02-01,14,62,62
12374,2011-11-14,33,348,348
12375,2011-09-02,11,275,275
12375,2011-11-29,6,363,275
12377,2010-12-20,43,19,19
12377,2011-01-28,34,58,19
12378,2011-08-02,219,244,244
12379,2011-06-22,20,203,203
12379,2011-09-19,20,292,203
12380,2011-06-07,36,188,188
12380,2011-09-22,28,295,188
12380,2011-10-14,23,317,188
12380,2011-11-18,17,352,188
12381,2011-08-12,62,254,254
12381,2011-10-11,1,314,254
12381,2011-10-12,1,315,254
12381,2011-11-06,16,340,254
12381,2011-12-05,7,369,254
12383,2010-12-22,37,21,21
12383,2011-01-12,31,42,21
12383,2011-03-14,15,103,21
12383,2011-04-15,11,135,21
12383,2011-06-08,5,189,21
12384,2011-08-10,14,252,252
12384,2011-11-11,13,345,252
12386,2010-12-08,8,7,7
12386,2011-01-06,2,36,7
12388,2011-01-17,19,47,47
12388,2011-02-07,6,68,47
12388,2011-03-09,10,98,47
12388,2011-07-14,35,225,47
12388,2011-09-25,22,298,47
12388,2011-11-24,8,358,47
12390,2011-09-21,32,294,294
12391,2011-11-18,100,352,352
12393,2011-01-11,19,41,41
12393,2011-01-14,3,44,41
12393,2011-04-08,17,128,41
12393,2011-09-28,25,301,41
12394,2011-05-06,21,156,156
12394,2011-10-07,6,310,156
12395,2010-12-03,12,2,2
12395,2010-12-17,19,16,2
12395,2011-02-11,14,72,2
12395,2011-03-23,10,112,2
12395,2011-05-05,11,155,2
12395,2011-05-12,13,162,2
12395,2011-06-30,10,211,2
12395,2011-08-19,7,261,2
12395,2011-10-04,17,307,2
12395,2011-11-08,28,342,2
12395,2011-11-20,15,354,2
12397,2011-07-27,70,238,238
12397,2011-11-04,56,338,238
12398,2011-10-25,85,328,328
12399,2011-03-23,20,112,112
12399,2011-05-10,22,160,112
12399,2011-06-09,5,190,112
12399,2011-08-12,12,254,112
12401,2011-02-09,5,70,70
12402,2011-01-20,11,50,50
12403,2011-10-21,5,324,324
12405,2011-07-14,54,225,225
12406,2011-06-09,49,190,190
12406,2011-11-17,56,351,190
12407,2011-03-20,15,109,109
12407,2011-04-18,12,138,109
12407,2011-07-06,33,217,109
12407,2011-07-28,4,239,109
12407,2011-10-21,13,324,109
12408,2011-03-24,36,113,113
12408,2011-06-17,29,198,113
12408,2011-09-02,17,275,113
12408,2011-11-07,23,341,113
12409,2011-06-10,64,191,191
12409,2011-09-21,1,294,191
12409,2011-09-22,44,295,191
12410,2011-02-04,26,65,65
12412,2011-06-23,28,204,204
12412,2011-07-25,17,236,204
12412,2011-09-26,16,299,204
12413,2011-01-06,24,36,36
12413,2011-04-17,4,137,36
12413,2011-10-04,10,307,36
12414,2011-02-02,7,63,63
12414,2011-04-26,5,146,63
12414,2011-05-06,6,156,63
12415,2011-01-06,46,36,36
12415,2011-01-10,1,40,36
12415,2011-02-15,69,76,36
12415,2011-03-03,82,92,36
12415,2011-04-01,1,121,36
12415,2011-05-17,73,167,36
12415,2011-05-20,4,170,36
12415,2011-06-15,139,196,36
12415,2011-07-13,23,224,36
12415,2011-07-19,57,230,36
12415,2011-08-18,97,260,36
12415,2011-09-01,9,274,36
12415,2011-10-05,82,308,36
12415,2011-11-02,1,336,36
12415,2011-11-03,5,337,36
12415,2011-11-15,27,349,36
12417,2010-12-17,11,16,16
12417,2011-01-25,16,55,16
12417,2011-03-03,19,92,16
12417,2011-04-28,23,148,16
12417,2011-06-05,23,186,16
12417,2011-08-04,21,246,16
12417,2011-08-25,35,267,16
12417,2011-10-31,24,334,16
12417,2011-12-06,20,370,16
12418,2011-08-19,34,261,261
12420,2011-10-07,29,310,310
12421,2011-01-24,11,54,54
12421,2011-06-19,14,200,54
12421,2011-08-17,11,259,54
12421,2011-11-24,9,358,54
12422,2011-01-19,13,49,49
12422,2011-06-24,18,205,49
12422,2011-09-05,8,278,49
12423,2010-12-21,16,20,20
12423,2011-02-21,15,82,20
12423,2011-03-21,20,110,20
12423,2011-04-07,18,127,20
12423,2011-05-23,22,173,20
12423,2011-06-01,5,182,20
12423,2011-08-31,12,273,20
12423,2011-12-09,17,373,20
12424,2011-06-30,30,211,211
12425,2011-09-22,36,295,295
12426,2011-05-29,30,179,179
12427,2010-12-03,10,2,2
12427,2011-10-10,15,313,2
12427,2011-11-18,6,352,2
12428,2011-03-01,194,90,90
12428,2011-03-20,10,109,90
12428,2011-03-30,10,119,90
12428,2011-04-11,21,131,90
12428,2011-07-05,20,216,90
12428,2011-08-11,24,253,90
12428,2011-11-14,15,348,90
12429,2010-12-09,20,8,8
12429,2011-04-26,21,146,8
12429,2011-06-20,29,201,8
12429,2011-11-30,27,364,8
12430,2011-10-27,11,330,330
12431,2010-12-01,14,0,0
12431,2010-12-17,10,16,0
12431,2011-01-28,20,58,0
12431,2011-02-17,37,78,0
12431,2011-02-27,10,88,0
12431,2011-05-12,23,162,0
12431,2011-05-23,17,173,0
12431,2011-07-19,23,230,0
12431,2011-07-24,20,235,0
12431,2011-07-26,1,237,0
12431,2011-08-12,10,254,0
12431,2011-10-06,32,309,0
12431,2011-10-10,17,313,0
12431,2011-11-04,2,338,0
12432,2011-06-20,75,201,201
12432,2011-06-22,1,203,201
12432,2011-10-28,32,331,201
12433,2010-12-01,73,0,0
12433,2010-12-08,74,7,0
12433,2011-09-09,81,282,0
12433,2011-10-27,58,330,0
12433,2011-11-30,68,364,0
12433,2011-12-09,66,373,0
12434,2011-03-24,16,113,113
12434,2011-09-16,34,289,113
12435,2011-03-17,19,106,106
12435,2011-09-21,17,294,106
12436,2011-09-01,16,274,274
12437,2011-01-12,7,42,42
12437,2011-02-02,10,63,42
12437,2011-02-23,21,84,42
12437,2011-03-16,8,105,42
12437,2011-04-28,8,148,42
12437,2011-05-18,10,168,42
12437,2011-05-25,11,175,42
12437,2011-06-15,13,196,42
12437,2011-09-02,14,275,42
12437,2011-09-22,10,295,42
12437,2011-10-27,11,330,42
12437,2011-11-03,50,337,42
12437,2011-11-18,10,352,42
12437,2011-11-30,14,364,42
12437,2011-12-08,3,372,42
12438,2011-07-22,49,233,233
12438,2011-11-25,49,359,233
12441,2010-12-08,11,7,7
12442,2011-12-06,12,370,370
12444,2011-06-21,90,202,202
12444,2011-08-10,15,252,202
12444,2011-09-15,20,288,202
12444,2011-10-12,17,315,202
12444,2011-11-18,35,352,202
12445,2011-11-17,4,351,351
12446,2011-10-13,58,316,316
12447,2011-04-10,26,130,130
12448,2011-10-26,22,329,329
12449,2011-06-05,48,186,186
12449,2011-08-02,39,244,186
12449,2011-09-09,45,282,186
12449,2011-11-17,59,351,186
12450,2011-06-19,6,200,200
12450,2011-07-06,2,217,200
12451,2011-01-19,101,49,49
12451,2011-05-05,94,155,49
12451,2011-10-05,100,308,49
12451,2011-11-18,44,352,49
12451,2011-11-29,15,363,49
12452,2011-11-23,22,357,357
12453,2011-07-28,43,239,239
12454,2011-10-14,15,317,317
12455,2011-02-16,41,77,77
12455,2011-02-17,1,78,77
12455,2011-06-03,13,184,77
12455,2011-07-06,11,217,77
12455,2011-08-04,5,246,77
12455,2011-09-27,19,300,77
12456,2011-03-30,41,119,119
12456,2011-07-31,45,242,119
12456,2011-10-26,39,329,119
12457,2011-04-14,23,134,134
12457,2011-04-15,2,135,134
12457,2011-04-20,1,140,134
12457,2011-09-14,34,287,134
12457,2011-09-15,1,288,134
12457,2011-09-19,1,292,134
12457,2011-10-04,1,307,134
12458,2011-02-28,19,89,89
12458,2011-09-29,19,302,89
12461,2011-07-08,34,219,219
12461,2011-09-06,1,279,219
12462,2011-02-09,40,70,70
12462,2011-11-21,22,355,70
12463,2011-04-12,20,132,132
12463,2011-05-17,18,167,132
12463,2011-06-17,23,198,132
12463,2011-10-17,22,320,132
12464,2011-02-03,6,64,64
12464,2011-02-28,3,89,64
12464,2011-05-23,6,173,64
12464,2011-07-13,2,224,64
12464,2011-08-25,4,267,64
12464,2011-11-17,3,351,64
12464,2011-11-29,5,363,64
12465,2011-06-23,26,204,204
12465,2011-11-22,21,356,204
12468,2011-01-27,12,57,57
12468,2011-06-05,26,186,57
12471,2010-12-10,48,9,9
12471,2010-12-17,28,16,9
12471,2011-01-13,7,43,9
12471,2011-02-03,16,64,9
12471,2011-02-23,14,84,9
12471,2011-03-18,20,107,9
12471,2011-04-04,28,124,9
12471,2011-05-13,18,163,9
12471,2011-07-04,1,215,9
12471,2011-07-07,34,218,9
12471,2011-08-22,21,264,9
12471,2011-08-24,28,266,9
12471,2011-09-16,19,289,9
12471,2011-09-22,8,295,9
12471,2011-10-05,28,308,9
12471,2011-11-03,29,337,9
12471,2011-11-17,32,351,9
12471,2011-11-24,25,358,9
12471,2011-11-29,18,363,9
12471,2011-12-07,38,371,9
12472,2010-12-05,70,4,4
12472,2011-01-26,42,56,4
12472,2011-03-17,26,106,4
12472,2011-06-13,68,194,4
12472,2011-07-24,43,235,4
12472,2011-10-19,80,322,4
12472,2011-11-07,10,341,4
12473,2011-06-01,35,182,182
12473,2011-08-17,30,259,182
12473,2011-10-17,99,320,182
12473,2011-11-10,4,344,182
12474,2011-01-14,13,44,44
12474,2011-01-26,22,56,44
12474,2011-02-25,13,86,44
12474,2011-03-18,48,107,44
12474,2011-03-28,17,117,44
12474,2011-05-17,38,167,44
12474,2011-05-23,1,173,44
12474,2011-06-21,24,202,44
12474,2011-06-26,1,207,44
12474,2011-07-12,11,223,44
12474,2011-07-25,33,236,44
12474,2011-09-02,26,275,44
12474,2011-10-11,30,314,44
12474,2011-10-17,36,320,44
12474,2011-10-20,45,323,44
12474,2011-11-15,43,349,44
12474,2011-11-22,23,356,44
12475,2011-10-17,36,320,320
12476,2010-12-13,2,12,12
12476,2011-01-31,21,61,12
12476,2011-02-14,8,75,12
12476,2011-04-19,51,139,12
12476,2011-05-05,3,155,12
12476,2011-07-21,32,232,12
12476,2011-09-16,13,289,12
12476,2011-10-25,34,328,12
12476,2011-11-14,10,348,12
12476,2011-11-24,59,358,12
12477,2011-02-11,52,72,72
12477,2011-04-14,57,134,72
12477,2011-08-31,90,273,72
12477,2011-10-07,24,310,72
