seed,exp_id,tg_accuracy_v
0,0,0.4715
0,1,0.602
0,2,0.5753
0,3,0.0
0,4,0.4208
0,5,0.1577
0,6,0.6154
1,0,0.4722
1,1,0.6014
1,2,0.5755
1,3,0.0
1,4,0.4206
1,5,0.1579
1,6,0.6151
2,0,0.4723
2,1,0.6014
2,2,0.5748
2,3,0.0501
2,4,0.4204
2,5,0.1575
2,6,0.6151
3,0,0.4721
3,1,0.6014
3,2,0.5748
3,3,0.0
3,4,0.4205
3,5,0.1573
3,6,0.6157
4,0,0.9456
4,1,0.6014
4,2,0.5752
4,3,0.0
4,4,0.4207
4,5,0.1577
4,6,0.6144
5,0,0.471
5,1,0.6015
5,2,0.5755
5,3,0.2835
5,4,0.4209
5,5,0.1579
5,6,0.6155
6,0,0.4714
6,1,0.601
6,2,0.5756
6,3,0.0
6,4,0.5706
6,5,0.1579
6,6,0.6156
7,0,0.4709
7,1,0.6018
7,2,0.5757
7,3,0.0
7,4,0.4202
7,5,0.1574
7,6,0.6152
8,0,0.4718
8,1,0.6013
8,2,0.5755
8,3,0.0
8,4,0.4208
8,5,0.1578
8,6,0.6146
9,0,0.4717
9,1,0.6003
9,2,0.5753
9,3,0.0
9,4,0.4206
9,5,0.1579
9,6,0.6146
10,0,0.4712
10,1,0.6007
10,2,0.5756
10,3,0.0
10,4,0.4209
10,5,0.1576
10,6,0.6151
11,0,0.472
11,1,0.6008
11,2,0.5752
11,3,0.0
11,4,0.4208
11,5,0.1587
11,6,0.6145
12,0,0.4713
12,1,0.6017
12,2,0.5757
12,3,0.0
12,4,0.4208
12,5,0.1579
12,6,0.736
13,0,0.4721
13,1,0.6008
13,2,0.5754
13,3,0.0
13,4,0.4199
13,5,0.6892
13,6,0.9211
14,0,0.4711
14,1,0.6012
14,2,0.5755
14,3,0.0
14,4,0.4205
14,5,0.1579
14,6,0.6151
15,0,0.472
15,1,0.6015
15,2,0.5754
15,3,0.0
15,4,0.4201
15,5,0.1573
15,6,0.6148
16,0,0.4702
16,1,0.6019
16,2,0.5751
16,3,0.4484
16,4,0.4209
16,5,0.1579
16,6,0.6141
17,0,0.4722
17,1,0.6005
17,2,0.9949
17,3,0.0
17,4,0.4208
17,5,0.1579
17,6,0.6154
18,0,0.4722
18,1,0.6005
18,2,0.5754
18,3,0.0
18,4,0.4209
18,5,0.1576
18,6,0.6149
19,0,0.4708
19,1,0.6014
19,2,0.5749
19,3,0.1497
19,4,0.4211
19,5,0.1579
19,6,0.6156
20,0,0.472
20,1,0.6015
20,2,0.5753
20,3,0.0
20,4,0.4209
20,5,0.1577
20,6,0.6157
21,0,0.8266
21,1,0.6019
21,2,0.5757
21,3,0.5495
21,4,0.4201
21,5,0.7587
21,6,0.6147
22,0,0.4717
22,1,0.6015
22,2,0.5751
22,3,0.0
22,4,0.4204
22,5,0.1579
22,6,0.6156
23,0,0.4709
23,1,0.6008
23,2,0.7749
23,3,0.0
23,4,0.4207
23,5,0.1577
23,6,0.6146
24,0,0.4723
24,1,0.9433
24,2,0.5757
24,3,0.0
24,4,0.4203
24,5,0.1574
24,6,0.9697
25,0,0.4715
25,1,0.6008
25,2,0.5755
25,3,0.0
25,4,0.4209
25,5,0.6149
25,6,0.6157
26,0,0.4714
26,1,0.6014
26,2,0.5743
26,3,0.0
26,4,0.4201
26,5,0.1586
26,6,0.6146
27,0,0.4717
27,1,0.6013
27,2,0.5746
27,3,0.0
27,4,0.4209
27,5,0.1579
27,6,0.6146
28,0,0.472
28,1,0.6015
28,2,0.5756
28,3,0.0
28,4,0.9689
28,5,0.1574
28,6,0.6144
29,0,0.4721
29,1,0.2001
