dataset,model,n,median_v,mean_v,source_key
UCI,TG-SSP,13,0.7012,0.5826,TG_SSP
UCI,IBP,13,0.8037,0.6664,IBP
UCI,NB-SSP,13,0.8449,0.7139,NB_SSP_regression
REES46 (28-day),TG-SSP,7,0.4715,0.4061,TG_SSP
REES46 (28-day),IBP,7,0.8058,0.8398,IBP
REES46 (28-day),NB-SSP,7,0.9001,0.8788,NB_SSP_regression
REES46 (k=21),TG-SSP,186,0.8040,0.7662,TG_SSP
REES46 (k=21),IBP,186,0.8086,0.7731,IBP
REES46 (k=21),NB-SSP,186,0.8021,0.7772,NB_SSP_regression
ASOS,TG-SSP,144,0.7162,0.6278,TG_SSP_geom
ASOS,IBP,144,0.1583,0.3049,IBP
ASOS,NB-SSP,144,0.5005,0.4455,NB_SSP_regression
