method,eta,mae,median_ae,n_valid,n_censored_true,n_censored_pred
NB-SSP (reg),1.5,4.573529411764706,2.0,136,8,0
NB-SSP (reg),2.0,10.033333333333333,4.0,120,24,0
NB-SSP (reg),3.0,8.46875,6.0,64,76,4
TG-SSP,1.5,5.911764705882353,3.0,136,8,0
TG-SSP,2.0,12.949579831932773,7.0,119,24,1
TG-SSP,3.0,14.348484848484848,6.5,66,76,2
IBP,1.5,9.0,4.0,128,8,8
IBP,2.0,16.404255319148938,10.0,94,24,26
IBP,3.0,18.710526315789473,15.0,38,76,30
Linear extrap.,1.5,6.051470588235294,4.0,136,8,0
Linear extrap.,2.0,14.458333333333334,8.5,120,24,0
Linear extrap.,3.0,16.352941176470587,10.0,68,76,0
Jackknife (J3),1.5,6.051470588235294,4.0,136,8,0
Jackknife (J3),2.0,13.575,7.5,120,24,0
Jackknife (J3),3.0,14.691176470588236,8.0,68,76,0
