method,eta,mae,median_ae,n_valid,n_censored_true,n_censored_pred
NB-SSP (reg),1.5,0.411214953271028,0.0,107,0,0
NB-SSP (reg),2.0,1.0093457943925233,1.0,107,0,0
NB-SSP (reg),3.0,2.439252336448598,2.0,107,0,0
TG-SSP,1.5,0.4392523364485981,0.0,107,0,0
TG-SSP,2.0,1.0373831775700935,1.0,107,0,0
TG-SSP,3.0,2.514018691588785,2.0,107,0,0
IBP,1.5,0.8130841121495327,1.0,107,0,0
IBP,2.0,1.3271028037383177,1.0,107,0,0
IBP,3.0,2.8317757009345796,3.0,107,0,0
Linear extrap.,1.5,0.4392523364485981,0.0,107,0,0
Linear extrap.,2.0,1.205607476635514,1.0,107,0,0
Linear extrap.,3.0,2.663551401869159,3.0,107,0,0
Jackknife (J3),1.5,0.4392523364485981,0.0,107,0,0
Jackknife (J3),2.0,1.0373831775700935,1.0,107,0,0
Jackknife (J3),3.0,2.5233644859813085,2.0,107,0,0
