method,eta,mae,median_ae,n_valid,n_censored_true,n_censored_pred
NB-SSP (reg),1.5,1.25,1.0,12,0,1
NB-SSP (reg),2.0,2.1666666666666665,1.5,12,0,1
NB-SSP (reg),3.0,3.142857142857143,1.0,7,2,4
TG-SSP,1.5,2.3846153846153846,1.0,13,0,0
TG-SSP,2.0,3.923076923076923,1.0,13,0,0
TG-SSP,3.0,2.5555555555555554,2.0,9,2,2
IBP,1.5,2.5384615384615383,1.0,13,0,0
IBP,2.0,1.3636363636363635,1.0,11,0,2
IBP,3.0,2.2222222222222223,2.0,9,2,2
Linear extrap.,1.5,1.6153846153846154,1.0,13,0,0
Linear extrap.,2.0,2.769230769230769,2.0,13,0,0
Linear extrap.,3.0,4.636363636363637,3.0,11,2,0
Jackknife (J3),1.5,1.6153846153846154,1.0,13,0,0
Jackknife (J3),2.0,2.076923076923077,1.0,13,0,0
Jackknife (J3),3.0,3.3636363636363638,4.0,11,2,0
